#OK
#SQL= select x,y,z,fofID,centralMvir,stellarMass,type
#	  from millimil..DeLucia2006a    
#	 where snapnum=63    
#	   and stellarMass > 0.1
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2018-02-20 16:23:15.316 CET
#QUERYTIME 23 millisec
#COLUMN 1 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=fofID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=centralMvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=stellarMass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=type JDBC_TYPE=4 JDBC_TYPENAME=int
#x,y,z,fofID,centralMvir,stellarMass,type
31.50367,25.104204,2.8816063,63000000000030,2390.6462,1.2098918,1
30.973623,25.305231,3.2414148,63000000000030,2390.6462,0.6955152,1
31.186337,24.286852,3.9031687,63000000000030,2390.6462,0.18247943,1
31.711792,25.05661,2.5358944,63000000000030,2390.6462,0.14635438,1
30.845003,24.12513,3.2880955,63000000000030,2390.6462,0.33188108,1
30.572498,24.074932,2.8631864,63000000000030,2390.6462,0.2831554,1
31.52542,24.840324,3.530524,63000000000030,2390.6462,0.4137402,1
31.281424,25.229527,3.0807333,63000000000030,2390.6462,0.14895058,1
31.009638,25.15111,3.2475033,63000000000030,2390.6462,0.18792193,1
31.25795,25.092567,3.048298,63000000000030,2390.6462,0.34480503,1
31.319807,24.721043,3.1459537,63000000000030,2390.6462,3.6323736,1
31.293196,23.836971,2.8355417,63000000000030,2390.6462,0.120354466,1
31.205639,24.810455,2.8060203,63000000000030,2390.6462,1.4909312,1
31.233604,24.645985,3.238444,63000000000030,2390.6462,3.793747,1
31.367615,24.273193,3.1617498,63000000000030,2390.6462,0.24614762,2
31.24663,24.407772,3.2984867,63000000000030,2390.6462,1.395528,1
30.90459,24.829676,3.1782608,63000000000030,2390.6462,0.34729695,1
31.130909,24.05299,3.2145019,63000000000030,2390.6462,0.15411241,1
31.042892,24.845776,3.3421397,63000000000030,2390.6462,0.40150163,1
27.40397,29.87746,9.177303,63000000000077,2404.2446,18.643827,0
27.346216,29.857574,9.2110815,63000000000077,2404.2446,1.2414372,2
27.473959,29.981182,9.261344,63000000000077,2404.2446,0.1634215,2
27.487717,29.919575,9.135424,63000000000077,2404.2446,0.10442438,2
27.439634,29.881718,9.150701,63000000000077,2404.2446,0.15637973,2
27.399458,29.856268,9.180016,63000000000077,2404.2446,0.13979256,2
27.2539,30.34391,9.110429,63000000000077,2404.2446,0.103516944,2
27.342632,29.778465,9.214758,63000000000077,2404.2446,0.3664819,2
27.524551,29.85189,9.242207,63000000000077,2404.2446,0.47789985,2
27.24925,29.757772,9.296262,63000000000077,2404.2446,0.7305329,2
27.198568,30.189657,8.888249,63000000000077,2404.2446,0.15643619,2
27.481483,29.839666,9.061226,63000000000077,2404.2446,0.19445941,2
27.427366,29.812435,9.174358,63000000000077,2404.2446,0.2762808,2
27.567562,30.047962,9.023195,63000000000077,2404.2446,0.26944965,2
27.11742,29.926313,9.137792,63000000000077,2404.2446,0.6292746,2
27.476526,29.871,9.006982,63000000000077,2404.2446,0.42955172,2
27.4786,29.891108,9.149439,63000000000077,2404.2446,2.5374153,2
27.541489,29.657738,9.044615,63000000000077,2404.2446,0.14009187,2
27.533236,29.649288,9.504026,63000000000077,2404.2446,0.10007973,2
28.723324,29.900373,9.40023,63000000000077,2404.2446,1.1144471,2
27.274956,29.877949,9.189812,63000000000077,2404.2446,0.31697935,2
27.958858,29.900555,8.800137,63000000000077,2404.2446,7.506116,1
27.227995,29.982868,9.651115,63000000000077,2404.2446,0.7176636,1
27.404669,29.450214,8.926687,63000000000077,2404.2446,0.39575538,1
27.28729,29.730314,9.38041,63000000000077,2404.2446,1.0382992,1
27.05817,30.10159,9.722426,63000000000077,2404.2446,0.3691462,1
26.671537,30.09477,9.239109,63000000000077,2404.2446,0.13221037,1
27.28838,30.03977,9.345136,63000000000077,2404.2446,0.12533985,1
27.97624,30.292965,8.810664,63000000000077,2404.2446,0.15459357,1
27.927124,29.516182,9.428095,63000000000077,2404.2446,0.12663308,1
26.833092,29.265242,9.544771,63000000001010,8.004107,0.13897577,0
26.52909,30.099892,9.083013,63000000001740,3.8729553,0.20092852,0
26.911608,30.417568,9.506101,63000000001274,3.2704954,0.119416445,0
9.782806,30.610786,23.194923,63000000000089,2440.4783,11.826805,0
9.886846,30.582493,22.938824,63000000000089,2440.4783,0.39347646,2
9.845524,30.615997,23.246044,63000000000089,2440.4783,1.3908684,2
9.9691105,30.603079,23.089468,63000000000089,2440.4783,0.13343006,2
9.528381,30.535406,23.037605,63000000000089,2440.4783,0.13860092,2
9.617533,30.79606,23.259247,63000000000089,2440.4783,0.29707935,2
9.740595,30.7324,23.23283,63000000000089,2440.4783,0.13485506,2
9.696786,30.77352,23.101948,63000000000089,2440.4783,0.41955033,2
9.625689,30.459064,23.167162,63000000000089,2440.4783,0.31281787,2
9.739998,30.619715,23.274427,63000000000089,2440.4783,0.3148233,2
9.8588705,30.749453,23.231333,63000000000089,2440.4783,1.8226026,2
9.895701,30.855047,23.224762,63000000000089,2440.4783,0.7747369,2
9.770381,30.897173,23.523855,63000000000089,2440.4783,0.32374778,2
10.159827,30.685644,23.334103,63000000000089,2440.4783,0.7662871,2
9.804867,30.61548,23.209597,63000000000089,2440.4783,5.7049503,2
9.624547,30.678535,23.211422,63000000000089,2440.4783,0.16647807,2
10.226245,30.971228,23.266178,63000000000089,2440.4783,1.8306392,1
9.868302,30.375765,22.740675,63000000000089,2440.4783,1.6897261,1
9.513455,30.165417,23.275969,63000000000089,2440.4783,0.30563098,1
9.572428,30.488153,22.724773,63000000000089,2440.4783,0.38535497,1
9.361044,30.147118,23.57742,63000000000089,2440.4783,0.1248499,1
9.618665,31.029068,22.88531,63000000000089,2440.4783,0.94015086,1
9.636735,30.451702,23.455004,63000000000089,2440.4783,0.41607717,1
10.2010765,30.825115,23.273703,63000000000089,2440.4783,0.22258273,1
9.6871195,30.514538,23.230043,63000000000089,2440.4783,0.9775825,1
9.14704,30.248428,23.012335,63000000000089,2440.4783,0.33734533,1
